,sent_id,word,topic_id,topic_score
10479,716,meter,2,0.024252990260720253
10480,716,meter,3,0.032498832792043686
10481,716,meter,4,0.05097940191626549
10482,716,meter,5,0.019691824913024902
10483,716,afstand,0,0.013506509363651276
10484,716,afstand,1,0.02184661105275154
10485,716,afstand,2,0.030169116333127022
10486,716,afstand,3,0.01741955615580082
10487,716,afstand,4,0.02522105537354946
10488,716,afstand,5,0.017081083729863167
10489,716,houden,1,0.027276815846562386
10490,716,houden,2,0.03333160653710365
10491,716,houden,3,0.019370166584849358
10492,716,houden,4,0.011532431468367577
10493,716,houden,5,0.02216542698442936
10494,716,steeds,4,0.02215789258480072
10495,716,steeds,5,0.011743659153580666
10496,716,waarom,0,0.02072514407336712
10497,716,nemen,5,0.017829766497015953
10498,716,waar,1,0.01804818958044052
10499,716,waar,5,0.0342056043446064
10500,716,zelfs,3,0.013804132118821144
10501,717,lockdown,1,0.028339620679616928
10502,717,lockdown,3,0.026806483045220375
10503,717,lockdown,5,0.010759448632597923
10504,717,afstand,0,0.013506509363651276
10505,717,afstand,1,0.02184661105275154
10506,717,afstand,2,0.030169116333127022
10507,717,afstand,3,0.01741955615580082
10508,717,afstand,4,0.02522105537354946
10509,717,afstand,5,0.017081083729863167
10510,717,gaan,2,0.019484372809529305
10511,717,gaan,5,0.0220489501953125
10512,717,houden,1,0.027276815846562386
10513,717,houden,2,0.03333160653710365
10514,717,houden,3,0.019370166584849358
10515,717,houden,4,0.011532431468367577
10516,717,houden,5,0.02216542698442936
10517,717,mensen,1,0.010593553073704243
10518,717,mensen,2,0.027829408645629883
10519,717,mensen,3,0.01911386288702488
10520,717,mensen,4,0.01867440715432167
10521,717,mensen,5,0.018564222380518913
10522,717,weer,1,0.011518411338329315
10523,717,weer,2,0.027011530473828316
10524,717,weer,3,0.011785176582634449
10525,717,mogelijk,1,0.01585688255727291
10526,717,mogelijk,4,0.012508561834692955
10527,717,wel,1,0.01472223736345768
10528,717,wel,2,0.02804906852543354
10529,717,wel,3,0.022085873410105705
10530,717,mag,3,0.023788079619407654
10531,717,mag,4,0.012680165469646454
10532,717,open,2,0.01379828155040741
10533,717,zoveel,4,0.016125725582242012
10534,718,gaan,2,0.019484372809529305
10535,718,gaan,5,0.0220489501953125
10536,718,mensen,1,0.010593553073704243
10537,718,mensen,2,0.027829408645629883
10538,718,mensen,3,0.01911386288702488
10539,718,mensen,4,0.01867440715432167
10540,718,mensen,5,0.018564222380518913
10541,718,elkaar,2,0.011397606693208218
10542,718,elkaar,4,0.01224643737077713
10543,718,elkaar,5,0.02808929607272148
10544,718,helemaal,0,0.013523477129638195
10545,718,#blijfthuis,4,0.031768910586833954
10546,718,#houdafstand,4,0.024607699364423752
10547,718,#corona,0,0.010043486021459103
10548,718,#corona,4,0.03243010863661766
10549,718,net,0,0.01453880313783884
10550,719,mensen,1,0.010593553073704243
10551,719,mensen,2,0.027829408645629883
10552,719,mensen,3,0.01911386288702488
10553,719,mensen,4,0.01867440715432167
10554,719,mensen,5,0.018564222380518913
10555,719,steeds,4,0.02215789258480072
10556,719,steeds,5,0.011743659153580666
10557,719,#stopdelockdown,4,0.03781375661492348
