,sent_id,word_id,word,value
4484,724,1,lockdown,0.2289110315089627
4485,724,10,afstand,0.08021859065841301
4486,724,20,we,0.2122096991647499
4487,724,21,weer,0.2626367484363786
4488,724,24,nieuwe,0.3878668076144724
4489,724,70,alleen,0.32262069592716364
4490,724,110,houd,0.6316036171781511
4491,724,125,samen,0.4167802732800097
4492,725,10,afstand,0.19485784698194678
4493,725,13,houden,0.3585938805267822
4494,725,148,vandaag,0.9129298156585225
4495,726,1,lockdown,0.3027215556250958
4496,726,14,mensen,0.2829301430530492
4497,726,24,nieuwe,0.5129313454331954
4498,726,25,normaal,0.4738351526241716
4499,726,104,rutte,0.5836881675360768
4500,727,48,#stopdelockdown,1.0
4501,728,0,anderhalve,0.2618715234394062
4502,728,5,gewoon,0.3158970261832951
4503,728,6,meter,0.1071352545470797
4504,728,10,afstand,0.08245730412338262
4505,728,12,gaan,0.28978352661452816
4506,728,20,we,0.2181319761209763
4507,728,23,handen,0.3470954318507008
4508,728,35,gaat,0.318014453133273
4509,728,42,vakantie,0.40775842548167607
4510,728,46,ruimte,0.43422209238823917
4511,728,110,houd,0.3246150993156681
4512,729,0,anderhalve,0.5052804030140986
4513,729,6,meter,0.20671718667070824
4514,729,123,️,0.8378303641339682
4515,730,1,lockdown,0.19773215133349462
4516,730,6,meter,0.09003033598059494
4517,730,7,vooral,0.38739800357253734
4518,730,11,blijven,0.28714526717738165
4519,730,37,wel,0.19687066830792757
4520,730,49,helemaal,0.3700422266606519
4521,730,55,grote,0.3467082294497716
4522,730,65,waarom,0.3182937193378679
4523,730,70,alleen,0.2786780691601994
4524,730,101,horeca,0.3648953935208223
4525,730,129,open,0.33503731906193196
4526,731,11,blijven,0.3754661023999464
4527,731,29,m,0.27420597557427195
4528,731,64,mag,0.4084131751879737
4529,731,70,alleen,0.3643945431539565
4530,731,116,straks,0.4771308005028812
4531,731,122,groot,0.5065548177363745
4532,732,13,houden,0.15214801134569514
4533,732,18,thuis,0.3277720626385629
4534,732,20,we,0.21871144400485698
4535,732,45,regels,0.40884163627979103
4536,732,51,even,0.40884163627979103
4537,732,54,doe,0.42400812778186703
4538,732,94,mtr,0.41367555598756584
4539,732,102,houdt,0.36928097256688275
4540,733,6,meter,0.10644528048262114
4541,733,10,afstand,0.08192626136336095
4542,733,12,gaan,0.28791725842375726
4543,733,55,grote,0.40992243700355036
4544,733,56,maken,0.3727538995445503
4545,733,60,‘,0.3476392039276795
4546,733,70,alleen,0.3294885541969593
4547,733,75,onze,0.42016126535375964
4548,733,103,prima,0.4314256087915987
4549,734,10,afstand,0.17645262470140258
4550,734,13,houden,0.3247230347704406
4551,734,46,ruimte,0.9292036493285318
4552,735,12,gaan,0.16304829090026662
4553,735,20,we,0.3681994588795221
4554,735,22,werkt,0.4699467312035358
4555,735,59,vaccin,0.5597706708565395
4556,735,74,nemen,0.24104815770652865
4557,735,150,zegt,0.49552705764826704
4558,736,1,lockdown,0.35554409563865436
4559,736,6,meter,0.3237688374944877
4560,736,14,mensen,0.33229923661363536
4561,736,30,moeten,0.47732939716116585
4562,736,103,prima,0.6561219397914633
4563,737,6,meter,0.214002440434371
4564,737,21,weer,0.5392571563640857
4565,737,45,regels,0.8144965775239658
4566,738,6,meter,0.1803598946571511
4567,738,37,wel,0.39439565131417503
4568,738,90,binnen,0.6091291871295834
4569,738,106,komen,0.663990972838172
4570,739,6,meter,0.20173505057210248
4571,739,10,afstand,0.1552666159024238
4572,739,39,elkaar,0.5163951501254715
4573,739,84,minder,0.8176376314014492
4574,740,5,gewoon,0.3351344642429865
4575,740,6,meter,0.11365955725502239
4576,740,13,houden,0.16098583342431116
4577,740,16,regel,0.9213305364296999
4578,741,0,anderhalve,0.40597540787155856
4579,741,101,horeca,0.6731678524982759
4580,741,128,nederland,0.6180849541659957
4581,742,36,leven,0.47582987563636403
4582,742,69,”,0.4689346693473647
4583,742,91,buiten,0.3638837981643901
4584,742,122,groot,0.4909287146780487
4585,742,128,nederland,0.424574827178881
4586,743,1,lockdown,0.3087938748166055
4587,743,10,afstand,0.10821238836088434
4588,743,13,houden,0.19914158379773061
4589,743,65,waarom,0.4970721769893578
4590,743,89,:/,0.5122033071531115
4591,743,145,twee,0.5863838968525543
4592,744,0,anderhalve,0.3716288192164667
4593,744,1,lockdown,0.33391961976841056
4594,744,6,meter,0.1520384791017547
4595,744,10,afstand,0.11701734562305817
4596,744,14,mensen,0.31208853163499034
4597,744,60,‘,0.49654184386257
4598,744,74,nemen,0.607970308216387
4599,745,99,werken,0.695978307960703
4600,745,149,net,0.7180628070358167
4601,746,6,meter,0.2606176452313202
4602,746,10,afstand,0.10029298256492815
4603,746,13,houden,0.1845676238580966
4604,746,27,nl,0.5518229828198378
4605,746,104,rutte,0.5518229828198378
4606,746,134,staat,0.5281451922807997
4607,747,6,meter,0.1177694526348541
4608,747,24,nieuwe,0.43826518304538215
4609,747,25,normaal,0.4048601274753166
4610,747,45,regels,0.448232346852028
4611,747,81,wassen,0.43356564148744536
4612,747,121,zelfs,0.49117294336522455
4613,748,6,meter,0.09902267871284032
4614,748,10,afstand,0.07621341049923558
4615,748,16,regel,0.4013416025038036
4616,748,93,personen,0.40700250778470576
4617,748,121,zelfs,0.41298706477048236
4618,748,131,zit,0.3908627399736951
4619,748,135,tijd,0.42609180143487935
4620,748,146,jullie,0.3908627399736951
4621,749,5,gewoon,0.19125317883289675
4622,749,10,afstand,0.04992203225882027
4623,749,13,houden,0.09187074346116596
4624,749,20,we,0.13206339528511946
4625,749,21,weer,0.16344540735729673
4626,749,45,regels,0.24686872178409672
4627,749,64,mag,0.22502839963698354
4628,749,70,alleen,0.2007749158548672
4629,749,72,zitten,0.2338900506868788
4630,749,103,prima,0.26289058967125556
4631,749,106,komen,0.47758175631551164
4632,749,117,laten,0.26659864963335583
4633,749,123,️,0.5257811793425111
4634,749,136,werk,0.23879087815775582
4635,750,1,lockdown,0.279834799189918
4636,750,6,meter,0.12741287049286754
4637,750,23,handen,0.41279059347943414
4638,750,76,samenleving,0.5029246261169671
4639,750,89,:/,0.46416824066451695
4640,750,92,tijdens,0.5164078197834715
4641,751,10,afstand,0.12443508664143853
4642,751,13,houden,0.22899596440975722
4643,751,20,we,0.6583594173116993
4644,751,23,handen,0.5237965343926608
4645,751,114,waar,0.47357874286312795
4646,752,1,lockdown,0.23551307216784823
4647,752,10,afstand,0.08253218119895715
4648,752,13,houden,0.15188269593893008
4649,752,28,zeg,0.4541011070076805
4650,752,32,overheid,0.4541011070076805
4651,752,70,alleen,0.33192542422211996
4652,752,79,laat,0.4232687432319202
4653,752,100,geven,0.4614186077365774
4654,753,29,m,0.051700598736555525
4655,753,59,vaccin,0.0687053446517262
4656,753,62,mondkapje,0.08171443884641653
4657,753,67,t,0.7692976208263662
4658,753,111,nooit,0.08996138034551833
4659,753,139,n,0.6213030619816757
4660,754,3,allemaal,0.4918098155828551
4661,754,10,afstand,0.10706677466014407
4662,754,13,houden,0.19703332863174203
4663,754,14,mensen,0.28555008073943605
4664,754,128,nederland,0.5176810979619586
4665,754,144,lijkt,0.5985859258879466
4666,755,1,lockdown,0.24032857123321336
4667,755,8,week,0.4375682855269086
4668,755,9,zie,0.44975851943935674
4669,755,10,afstand,0.08421970383949609
4670,755,29,m,0.25488011590349335
4671,755,52,goed,0.3695612442644607
4672,755,132,hele,0.42139779927810933
4673,755,136,werk,0.40284612080202686
4674,756,10,afstand,0.0930012000224843
4675,756,35,gaat,0.35867927141583106
4676,756,78,kans,0.3853937062704669
4677,756,119,gehouden,0.5039571430516621
4678,756,120,ga,0.43572055068644033
4679,756,122,groot,0.5199485050414235
4680,757,6,meter,0.1367507287616707
4681,757,32,overheid,0.5791027309841023
4682,757,59,vaccin,0.4232954218427731
4683,757,62,mondkapje,0.5034447907579243
4684,757,73,maatregelen,0.4618480200840585
4685,758,10,afstand,0.11946408549259802
4686,758,13,houden,0.21984790791793446
4687,758,63,alle,0.5541381190143423
4688,758,78,kans,0.4950549741624119
4689,758,83,dragen,0.6206824850709297
4690,759,1,lockdown,0.2595946969797719
4691,759,10,afstand,0.09097124152052821
4692,759,13,houden,0.16741296806080225
4693,759,29,m,0.27531277748050137
4694,759,42,vakantie,0.4498605745225297
4695,759,44,nodig,0.42620997839136143
4696,759,88,komt,0.4398572044670033
4697,759,145,twee,0.49295715502019694
4698,760,10,afstand,0.10387934602061405
4699,760,20,we,0.2748016960598841
4700,760,115,dag,0.5715555476412245
4701,760,119,gehouden,0.5629039026374627
4702,760,132,hele,0.5197658719740982
4703,761,6,meter,0.07977987994917304
4704,761,12,gaan,0.2157916650526615
4705,761,42,vakantie,0.3036434493082434
4706,761,71,zeggen,0.32791085468652054
4707,761,82,zoals,0.33273244953812836
